Name,Detail description en,Detail description vn,Location
Bánh mì Sài Gòn,"Vietnamese baguette sandwich filled with various ingredients: pate, cold cuts, grilled meat, pickled carrot and daikon, cucumber, cilantro and chili. Ingredients: French-style baguette, meats, pate, pickles, herbs. Taste is crispy, savory, tangy and fresh. Great as breakfast or any-time street meal. Saigon's vibrant street food culture made this sandwich famous nationwide.","Bánh mì Sài Gòn là bánh mì baguette kẹp với pâté, thịt nguội hoặc thịt nướng, đồ chua, dưa leo, ngò, ớt. Nguyên liệu: bánh mì Pháp, các loại thịt, pâté, đồ chua, rau thơm. Vị giòn, mặn, hơi chua và tươi mát. Thích hợp ăn sáng hoặc ăn nhanh. Văn hóa ẩm thực đường phố Sài Gòn đã làm món này nổi tiếng trên cả nước.",TP. Hồ Chí Minh
Cơm tấm Sài Gòn,"Broken rice served with grilled pork chops, shredded pork skin, steamed egg meatloaf, pickles and fish sauce. Ingredients: broken rice, grilled pork, bì (shredded pork skin), chả trứng, vegetables. Taste is savory, slightly sweet and rich. Ideal for breakfast or lunch. A Ho Chi Minh City specialty originating from rice milling leftovers turned into a beloved dish.","Cơm tấm là cơm làm từ gạo tấm ăn kèm sườn nướng, bì, chả trứng, đồ chua và nước mắm. Nguyên liệu: cơm tấm, sườn nướng, bì, chả, rau. Vị mặn, hơi ngọt và béo. Thích hợp ăn sáng hoặc trưa. Món đặc sản Sài Gòn có nguồn gốc từ gạo tấm, trở thành món ăn bình dân được yêu thích.",TP. Hồ Chí Minh
Hủ tiếu Nam Vang,"Cambodian-inspired noodle soup popular in the South with clear pork or chicken broth, dried shrimp, herbs and various toppings like minced pork and quail eggs. Ingredients: rice noodles, pork/chicken, dried shrimp, herbs. Taste is savory, slightly sweet with umami from stock. Great for breakfast or anytime. Brought by immigrants and adapted in Saigon into a beloved comfort soup.","Hủ tiếu Nam Vang là món nước có nguồn gốc Campuchia, phổ biến ở miền Nam với nước dùng trong, tôm khô, thịt băm, trứng cút và rau thơm. Nguyên liệu: hủ tiếu, thịt, tôm khô, rau. Vị đậm đà, hơi ngọt và umami. Thích hợp ăn sáng hoặc bất cứ lúc nào. Do người nhập cư mang đến và được Saigon hòa nhập thành món ăn quen thuộc.",TP. Hồ Chí Minh
Bún thịt nướng,"Rice vermicelli topped with grilled pork, fresh herbs, pickles, crushed peanuts and fish sauce dressing. Ingredients: bún, grilled pork, herbs, nước mắm, peanuts. Taste is smoky, herbal, tangy and crunchy. Best for lunch or dinner. Widely popular in southern Vietnam with many regional variations.","Bún thịt nướng là bún ăn kèm thịt heo nướng, rau sống, đồ chua, lạc rang và nước mắm. Nguyên liệu: bún, thịt nướng, rau, nước mắm, lạc. Vị khói, nhiều rau thơm, chua ngọt và giòn. Phù hợp ăn trưa hoặc tối. Rất phổ biến ở miền Nam với nhiều biến thể địa phương.",Miền Nam (phổ biến ở TP. HCM)
Bánh tráng trộn,"Stirred rice paper salad with shredded mango, quail eggs, dried beef, herbs, chili and spicy-sweet sauce. Ingredients: rice paper, dried shrimp/beef, mango, herbs, quail egg, sauces. Taste is tangy, spicy, chewy and savory. Best as an afternoon snack or street food. A trendy street snack originating from southern Vietnam, especially Ho Chi Minh City.","Bánh tráng trộn là món trộn bánh tráng với xoài bào, trứng cút, bò khô/tôm khô, rau răm, ớt và sốt chua ngọt. Nguyên liệu: bánh tráng, xoài, trứng, tôm/bò khô, rau, sốt. Vị chua cay, dai và mặn ngọt. Thích hợp ăn vặt buổi chiều. Bắt nguồn từ miền Nam, đặc biệt ở TP. HCM và rất được giới trẻ ưa chuộng.",TP. Hồ Chí Minh
Bánh tráng nướng Đà Lạt,"Grilled rice paper topped with egg, dried meat, scallions, and various sauces — often called 'Vietnamese pizza'. Ingredients: rice paper, egg, meat floss, scallion oil, sauces. Taste is crispy, savory and slightly smoky. Best as a warm street snack in the cool Da Lat evenings. A popular late-night treat in Đà Lạt.","Bánh tráng nướng Đà Lạt là bánh tráng nướng lên với trứng, ruốc, hành mỡ và các loại sốt, thường gọi vui là 'pizza Việt'. Nguyên liệu: bánh tráng, trứng, ruốc, hành, sốt. Vị giòn, mặn và hơi khói. Thích hợp làm món ăn đường phố ấm áp vào buổi tối se lạnh ở Đà Lạt. Rất phổ biến ở phố ẩm thực Đà Lạt.",Đà Lạt
Bánh mì Hội An,"Hội An-style banh mi often features a crispier baguette with pork, pate, green papaya, herbs and a distinctive local sauce. Ingredients: baguette, pork, pâté, pickled papaya, herbs. Taste balances crisp, savory, sweet and tangy notes. Best as a light meal while exploring Hoi An. Cao lao and Hoi An's sandwiches are famous for local flavors and bread texture.","Bánh mì Hội An thường có vỏ giòn, nhân thịt heo, pâté, đu đủ ngâm chua, rau thơm và sốt đặc trưng. Nguyên liệu: bánh mì, thịt, pâté, đu đủ, rau. Vị giòn, mặn, ngọt và chua hài hòa. Thích hợp làm bữa nhẹ khi tham quan Hội An. Bánh mì Hội An nổi tiếng nhờ hương vị địa phương và lớp vỏ bánh đặc biệt.",Hội An
Cao lầu,"A Hoi An noodle dish with thick rice noodles, slices of pork, fresh greens, crispy rice crackers and a small amount of savory broth. Ingredients: thick rice noodles, pork, greens, rice crackers, broth. Taste is rich, chewy and herbaceous with contrasting textures. Best at lunch. Cao lầu is a regional specialty tied to Hoi An's history and alleged use of special water from local wells.","Cao lầu là món mì đặc sản Hội An gồm sợi mì to, thịt heo thái lát, rau, bánh tráng giòn và một ít nước dùng đậm đà. Nguyên liệu: mì, thịt, rau, bánh tráng, nước dùng. Vị đậm, dai và nhiều rau thơm cùng sự tương phản về kết cấu. Thích hợp ăn trưa. Cao lầu gắn liền với lịch sử Hội An và truyền thuyết về nguồn nước đặc biệt dùng để làm mì.",Hội An
Mì Quảng,"Central Vietnamese turmeric-yellow rice noodles served with a small amount of savory broth, pork, shrimp, herbs, peanuts and sesame rice crackers. Ingredients: rice noodles, pork, shrimp, herbs, peanuts, broth. Taste is aromatic, slightly spicy and nutty. Best as lunch. Originating from Quảng Nam/Đà Nẵng, Mì Quảng is celebrated for its vivid flavors and toppings.","Mì Quảng là mì miền Trung nhuộm nghệ, ăn với ít nước dùng, thịt heo, tôm, rau thơm, lạc và bánh tráng mè. Nguyên liệu: mì, thịt, tôm, rau, lạc, nước dùng. Vị thơm, hơi cay và bùi. Thích hợp ăn trưa. Có nguồn gốc từ Quảng Nam/Đà Nẵng, Mì Quảng nổi bật với hương vị đậm và nhiều loại thức ăn kèm.",Quảng Nam / Đà Nẵng
Bún bò Huế,"Spicy beef noodle soup from Hue made with beef shank, pork hock, and lemongrass beef broth, served with thick rice noodles, herbs and chili oil. Ingredients: beef/pork, rice noodles, lemongrass, shrimp paste, chili. Taste is spicy, savory and aromatic with lemongrass and shrimp paste notes. Best for lunch or dinner. A signature dish of Huế reflecting royal and imperial culinary influences.","Bún bò Huế là bún nước cay của Huế với bắp bò, giò heo, nước dùng thơm sả, mắm ruốc và bún to. Nguyên liệu: bò/heo, bún, sả, mắm ruốc, ớt. Vị cay, đậm và thơm mùi sả và mắm. Thích hợp ăn trưa hoặc tối. Là món đặc trưng của Huế, mang ảnh hưởng ẩm thực cung đình.",Huế
Bánh bèo Huế,"Small steamed rice cakes topped with minced shrimp, scallion oil and crispy shallots. Ingredients: rice batter, dried shrimp, scallion oil, fried shallots. Taste is soft, slightly sweet and savory with crunchy topping. Best as a snack or light meal. A beloved street food from Huế often served in small dishes.","Bánh bèo Huế là chiếc bánh nhỏ hấp từ bột gạo, phủ tôm băm, hành phi và mỡ hành. Nguyên liệu: bột gạo, tôm khô, mỡ hành, hành phi. Vị mềm, hơi ngọt và mặn, có lớp topping giòn. Thích hợp làm ăn vặt hoặc bữa nhẹ. Món ăn đường phố Huế được bày trong chén nhỏ rất phổ biến.",Huế
Bánh nậm Huế,"Flat steamed rice cake wrapped in banana leaf with minced shrimp and pork filling. Ingredients: rice flour, shrimp, pork, banana leaf. Taste is soft, slightly chewy and savory. Perfect as a snack or appetizer. A traditional Hue specialty often sold at markets and street stalls.","Bánh nậm Huế là bánh hấp dẹt gói lá chuối, nhân tôm thịt băm. Nguyên liệu: bột gạo, tôm, thịt, lá chuối. Vị mềm, hơi dai và mặn. Phù hợp làm ăn vặt hoặc khai vị. Món đặc sản truyền thống Huế, thường bán ở chợ và hàng quán ven đường.",Huế
Bánh bột lọc Huế,"Transparent tapioca dumplings filled with shrimp and pork, wrapped in banana leaf and steamed or boiled. Ingredients: tapioca flour, shrimp, pork, banana leaf. Taste is chewy, savory and aromatic. Best as a snack or appetizer. A famous Hue delicacy noted for its translucent skin and flavorful filling.","Bánh bột lọc Huế là bánh bột năng trong suốt nhân tôm thịt, gói lá chuối và hấp hoặc luộc. Nguyên liệu: bột năng, tôm, thịt, lá chuối. Vị dai, mặn và thơm. Thích hợp ăn vặt hoặc khai vị. Món đặc sản Huế nổi tiếng với lớp vỏ trong và nhân đậm đà.",Huế
Nem lụi Huế,"Skewered ground pork seasoned and grilled, served with rice paper, herbs and peanut sauce. Ingredients: ground pork, lemongrass, spices, rice paper, herbs. Taste is smoky, savory and fragrant with lemongrass. Best as a street-food snack or light meal. A Hue specialty often eaten rolled with herbs and sauce.","Nem lụi Huế là thịt băm que nướng tẩm sả và gia vị, ăn kèm bánh tráng, rau và nước chấm đậu phộng. Nguyên liệu: thịt băm, sả, gia vị, bánh tráng, rau. Vị khói, đậm đà và thơm sả. Thích hợp làm món ăn vặt đường phố hoặc bữa nhẹ. Đặc sản Huế thường cuộn ăn cùng rau và nước chấm.",Huế
Bánh khọt Vũng Tàu,"Mini savory pancakes made from rice flour and coconut milk batter, topped with shrimp and served with herbs and fish sauce. Ingredients: rice flour, coconut milk, shrimp, herbs. Taste is crispy, sweet from coconut and savory from shrimp. Best as an afternoon snack or light meal near the coast. Popular in Vũng Tàu and southern beach towns.","Bánh khọt Vũng Tàu là bánh nhỏ làm từ bột gạo và nước cốt dừa, phủ tôm và ăn kèm rau, nước mắm. Nguyên liệu: bột gạo, nước cốt dừa, tôm, rau. Vị giòn, ngọt của dừa và mặn của tôm. Thích hợp làm ăn vặt buổi chiều hoặc bữa nhẹ tại vùng biển. Phổ biến ở Vũng Tàu và các vùng ven biển phía Nam.",Vũng Tàu
Bánh căn Nha Trang,"Small skillet rice pancakes made from rice batter, often topped with quail eggs or shrimp and served with fish sauce and herbs. Ingredients: rice flour, eggs or shrimp, fish sauce, herbs. Taste is crispy at edges, soft inside, savory and fragrant. Best eaten as a snack or breakfast, especially in coastal Nha Trang. A local specialty served in small clay molds.","Bánh căn Nha Trang là bánh nhỏ chiên khuôn từ bột gạo, thường phủ trứng cút hoặc tôm và ăn với nước mắm, rau. Nguyên liệu: bột gạo, trứng hoặc tôm, nước mắm, rau. Vị giòn rìa, mềm trong, mặn và thơm. Thích hợp ăn vặt hoặc sáng, rất phổ biến ở Nha Trang.",Nha Trang
Bún chả cá Nha Trang,"Fish cake noodle soup with local fish cakes, rice vermicelli, and a light broth often enriched with tomatoes and pineapple. Ingredients: fish cakes, rice vermicelli, broth, tomatoes, pineapple. Taste is sweet, slightly tangy and savory with fish flavors. Best as lunch or dinner, especially near the coast. A coastal specialty in Nha Trang known for fresh seafood.","Bún chả cá Nha Trang là bún nước với chả cá địa phương, nước dùng nhẹ, thường có cà chua và dứa. Nguyên liệu: chả cá, bún, nước dùng, cà chua, dứa. Vị ngọt, hơi chua và mặn từ cá. Thích hợp ăn trưa hoặc tối, đặc trưng của vùng biển Nha Trang với hải sản tươi.",Nha Trang
Ốc luộc Hà Nội,"Boiled freshwater and sea snails served with spicy salt, lemongrass or tamarind dipping sauces. Ingredients: assorted snails, spices, dipping sauces. Taste is briny, chewy and spicy depending on the sauce. Best as a late-night street snack with beer. A beloved Hanoi late-night street food culture item.","Ốc luộc là các loại ốc luộc chín ăn với muối tiêu chanh, nước chấm sả ớt hoặc me. Nguyên liệu: ốc các loại, gia vị, nước chấm. Vị mặn, dai và cay tùy nước chấm. Thích hợp làm món nhậu tối khuya cùng bia. Là nét văn hóa ăn vặt đêm ở Hà Nội.",Hà Nội
Bánh đa cua Hải Phòng,"Crab noodle soup from Hai Phong made with thick rice noodles, fresh crab meat, pork, and a slightly thick, savory broth. Ingredients: crab, rice noodles, pork, tomatoes. Taste is rich, briny and slightly sweet from crab. Best for lunch. A signature dish of Hai Phong showcasing the city's seafood heritage.","Bánh đa cua Hải Phòng là bún hoặc bánh đa nấu với cua tươi, thịt lợn và nước dùng hơi sánh. Nguyên liệu: cua, bánh đa/bún, thịt, cà chua. Vị đậm, mặn mặn và hơi ngọt từ cua. Thích hợp ăn trưa. Món đặc trưng Hải Phòng thể hiện truyền thống hải sản của thành phố cảng.",Hải Phòng
Bún riêu cua,"Noodle soup with crab paste, tomato, tofu and sometimes congealed pork blood, served with herbs. Ingredients: rice vermicelli, crab paste, tomato, tofu, herbs. Taste is tangy, savory and slightly sweet. Best for lunch. Popular across Vietnam as a comforting, aromatic soup with distinctive crab flavor.","Bún riêu cua là bún nước với riêu cua, cà chua, đậu hũ và đôi khi có tiết heo, ăn kèm rau thơm. Nguyên liệu: bún, riêu cua, cà chua, đậu hũ, rau. Vị chua, đậm và hơi ngọt. Thích hợp ăn trưa. Phổ biến khắp Việt Nam, nổi bật với hương vị cua đặc trưng.",Toàn quốc
Bún đậu mắm tôm,"Firm rice noodles and fried tofu served with herbs, fermented shrimp paste dipping sauce and sometimes pork, boiled eggs or cha. Ingredients: bún (rice vermicelli), đậu phụ rán, mắm tôm, rau. Taste is pungent, savory and herbaceous. Best as a casual lunch or shared meal with friends. A Hanoi specialty loved for its bold fermented flavors.","Bún đậu mắm tôm gồm bún lá, đậu phụ rán, rau sống và mắm tôm chấm, kèm thêm thịt luộc, trứng hoặc chả. Nguyên liệu: bún, đậu, mắm tôm, rau. Vị nồng, đậm và nhiều rau thơm. Phù hợp ăn trưa giản dị hoặc ăn chung với bạn bè. Đặc sản Hà Nội được ưa chuộng nhờ hương mắm mạnh mẽ.",Hà Nội
Bún mắm Cần Thơ,"Fermented fish noodle soup from the Mekong Delta with thick broth, assorted seafood or pork, eggplant and herbs. Ingredients: fermented fish sauce (mắm), rice vermicelli, seafood/pork, eggplant. Taste is intensely savory, pungent and umami-rich. Best for adventurous eaters at lunch or dinner. A staple of Mekong Delta cuisine, especially Can Tho.","Bún mắm Cần Thơ là bún nước làm từ mắm cá, kèm hải sản hoặc thịt heo, cà tím và rau thơm. Nguyên liệu: mắm, bún, hải sản/thịt, cà tím. Vị đậm đà, nồng và umami. Thích hợp ăn trưa hoặc tối cho người thích vị mạnh. Món đặc trưng của ẩm thực đồng bằng sông Cửu Long, đặc biệt ở Cần Thơ.",Cần Thơ
Canh chua cá (Mekong),"Sweet and sour fish soup with tamarind or pineapple, tomatoes, okra and bean sprouts, typically served with rice. Ingredients: freshwater fish, tamarind/pineapple, tomatoes, okra, herbs. Taste is tangy, slightly sweet and fragrant. Best on a warm day or for family meals. A classic Mekong Delta dish reflecting the region's fresh river ingredients.","Canh chua cá là canh chua với cá đồng, me hoặc dứa, cà chua, đậu bắp và giá, thường ăn kèm cơm. Nguyên liệu: cá, me/dứa, cà chua, đậu bắp, rau thơm. Vị chua ngọt, thanh và thơm. Thích hợp ăn ngày nóng hoặc bữa gia đình. Món ăn điển hình của đồng bằng sông Cửu Long, tận dụng nguyên liệu tươi từ sông.",Đồng bằng sông Cửu Long
Cá kho tộ miền Nam,"Caramelized clay-pot fish cooked in a savory-sweet caramel sauce with fish sauce, sugar, black pepper and sometimes coconut juice. Ingredients: fish (often catfish), fish sauce, sugar, pepper, clay pot. Taste is rich, sweet-salty and deeply savory. Best with steamed rice for lunch or dinner. A home-style southern Vietnamese comfort dish.","Cá kho tộ là cá kho trong nồi đất với nước màu, nước mắm, đường, tiêu và đôi khi nước dừa. Nguyên liệu: cá (thường cá basa/cá lóc), nước mắm, đường, tiêu, nồi đất. Vị đậm, mặn ngọt và thơm. Thích hợp ăn với cơm nóng. Món cơm gia đình miền Nam mang tính an ủi và đậm đà.",Miền Nam
Gỏi cuốn,"Fresh spring rolls made of rice paper wrapped around shrimp, pork, rice vermicelli and herbs, served with peanut or hoisin dipping sauce. Ingredients: rice paper, shrimp, pork, bún, herbs, dipping sauce. Taste is fresh, light and herb-forward. Best as a starter or healthy snack. Ubiquitous across Vietnam and a popular street and restaurant dish.","Gỏi cuốn là cuốn tươi từ bánh tráng, nhân tôm, thịt, bún và rau thơm, chấm với tương hoặc nước chấm lạc. Nguyên liệu: bánh tráng, tôm, thịt, bún, rau, nước chấm. Vị tươi, nhẹ và nhiều rau thơm. Thích hợp làm khai vị hoặc đồ ăn lành mạnh. Phổ biến khắp Việt Nam cả trên đường phố và nhà hàng.",Toàn quốc
Chả giò (nem rán),"Deep-fried spring rolls filled with minced pork, glass noodles, mushrooms and vegetables, served with fish sauce and lettuce to wrap. Ingredients: rice paper, minced pork, glass noodles, mushrooms, vegetables. Taste is crispy, savory and satisfying. Best as appetizer or paired with rice and salad. A staple in Vietnamese homes and restaurants with regional variations.","Chả giò (nem rán) là nem chiên giòn nhân thịt băm, miến, mộc nhĩ và rau củ, chấm nước mắm và cuốn với rau sống. Nguyên liệu: bánh tráng, thịt băm, miến, mộc nhĩ, rau. Vị giòn, đậm đà và ngon miệng. Thích hợp làm món khai vị hoặc ăn kèm cơm. Là món quen thuộc trong gia đình và nhà hàng, có nhiều cách biến tấu theo vùng.",Toàn quốc
Chè ba màu (Chè ba sắc),"A colorful layered sweet dessert of beans, jelly and coconut milk, often served cold with shaved ice. Ingredients: mung beans, red beans, pandan jelly, coconut milk, sugar. Taste is sweet, creamy and refreshing. Best as a dessert or cooling snack on hot days. Popular in southern Vietnam and street dessert stalls.","Chè ba màu là món chè nhiều lớp gồm đậu xanh, thạch và nước cốt dừa, thường ăn lạnh với đá bào. Nguyên liệu: đậu xanh, đậu đỏ, thạch lá dứa, nước cốt dừa, đường. Vị ngọt, béo và mát. Thích hợp làm tráng miệng hoặc giải nhiệt ngày nóng. Phổ biến ở miền Nam và các quán chè đường phố.",TP. Hồ Chí Minh
Chè chuối,"Creamy sweet soup made from ripe bananas stewed in coconut milk with tapioca pearls or sweet potatoes. Ingredients: banana, coconut milk, tapioca/sweet potato, sugar. Taste is sweet, creamy and comforting. Best warm or slightly chilled as dessert. A homey Vietnamese sweet often made in households across the country.","Chè chuối là món chè làm từ chuối chín nấu với nước cốt dừa và hạt bột năng hoặc khoai, có đường. Nguyên liệu: chuối, nước cốt dừa, bột năng/khoai, đường. Vị ngọt, béo và ấm áp. Thích hợp ăn nóng hoặc hơi lạnh làm món tráng miệng. Là món chè gia đình quen thuộc ở Việt Nam.",Toàn quốc
Xôi gấc,"Glutinous sticky rice colored and flavored with gac fruit, often served at celebrations. Ingredients: glutinous rice, gac, coconut milk, salt. Taste is mildly sweet, fragrant and slightly nutty. Best at festivals, weddings or Tet. Traditionally used for auspicious occasions due to its bright red color symbolizing luck.","Xôi gấc là xôi nếp nhuộm gấc, thường xuất hiện trong các dịp lễ, cưới hỏi và Tết. Nguyên liệu: nếp, gấc, nước cốt dừa, muối. Vị hơi ngọt, thơm và bùi. Dùng chủ yếu trong lễ tết vì màu đỏ tượng trưng may mắn.",Toàn quốc
Bánh chưng,"Square sticky rice cake with mung bean and pork wrapped in dong leaves, traditionally made for Lunar New Year. Ingredients: glutinous rice, mung beans, pork, dong leaves. Taste is savory, starchy and fragrant from leaves. Best during Tet as a celebratory food. Central to Vietnamese New Year customs, symbolizing the Earth.","Bánh chưng là bánh tết hình vuông từ nếp, đậu xanh và thịt lợn gói lá dong, đặc trưng dịp Tết Nguyên Đán. Nguyên liệu: gạo nếp, đậu xanh, thịt, lá dong. Vị mặn, bùi và thơm mùi lá. Dùng chủ yếu vào dịp Tết, tượng trưng cho Trái Đất trong tín ngưỡng dân gian.",Toàn quốc (phổ biến ở miền Bắc)
Bánh tét,"Cylindrical sticky rice cake filled with mung bean and pork, wrapped in banana leaves and boiled, a southern counterpart to bánh chưng for Tet. Ingredients: glutinous rice, mung bean, pork, banana leaf. Taste is savory-sweet and aromatic. Best during Lunar New Year. A traditional southern Vietnamese festive food.","Bánh tét là bánh tết hình trụ từ nếp, đậu xanh và thịt, gói lá chuối và luộc, là món Tết phổ biến ở miền Nam. Nguyên liệu: nếp, đậu xanh, thịt, lá chuối. Vị mặn-hơi ngọt và thơm. Dùng chủ yếu vào dịp Tết, là nét ẩm thực truyền thống miền Nam.",Miền Nam
